totTime, numVirus, numCellInfect, numCellUninfect, numLatentComp, numLatentIncomp
15.117113, 42077083, 159244, 34985, 1224, 23612 
15.121241, 42037640, 159105, 34991, 1225, 23613 
15.125371, 41996053, 158948, 35005, 1225, 23614 
15.129503, 41954781, 158781, 35014, 1225, 23614 
15.133637, 41912774, 158645, 35032, 1225, 23614 
15.137776, 41871981, 158494, 35066, 1225, 23619 
15.141919, 41833372, 158348, 35087, 1225, 23619 
15.146070, 41790275, 158175, 35130, 1225, 23619 
15.150223, 41749148, 158005, 35132, 1225, 23619 
15.154381, 41707839, 157830, 35158, 1225, 23619 
15.158542, 41667122, 157674, 35190, 1225, 23623 
15.162708, 41626062, 157538, 35199, 1225, 23623 
15.166873, 41585176, 157410, 35210, 1225, 23625 
15.171049, 41544694, 157260, 35228, 1225, 23625 
15.175224, 41503928, 157120, 35249, 1225, 23626 
15.179397, 41465221, 156970, 35257, 1225, 23628 
15.183581, 41423274, 156794, 35287, 1225, 23629 
15.187772, 41382599, 156631, 35321, 1225, 23629 
15.191959, 41341078, 156481, 35322, 1225, 23631 
15.196153, 41301173, 156345, 35332, 1225, 23631 
15.200350, 41260477, 156175, 35341, 1225, 23633 
15.204558, 41218767, 156028, 35358, 1225, 23634 
15.208768, 41179021, 155863, 35397, 1225, 23634 
15.212987, 41136959, 155705, 35406, 1225, 23635 
15.217200, 41097412, 155567, 35427, 1225, 23636 
15.221420, 41057920, 155418, 35425, 1225, 23637 
15.225645, 41014576, 155256, 35454, 1225, 23638 
15.229874, 40974318, 155125, 35468, 1225, 23638 
15.234108, 40932963, 154985, 35482, 1225, 23639 
15.238349, 40892345, 154837, 35510, 1225, 23641 
15.242600, 40852528, 154712, 35517, 1225, 23641 
15.246839, 40813435, 154542, 35529, 1225, 23642 
15.251089, 40772954, 154396, 35562, 1225, 23643 
15.255344, 40732943, 154250, 35578, 1225, 23643 
15.259601, 40692676, 154093, 35604, 1225, 23644 
15.263866, 40650702, 153926, 35625, 1225, 23645 
15.268128, 40610046, 153766, 35637, 1225, 23646 
15.272396, 40568578, 153606, 35666, 1225, 23646 
15.276667, 40527223, 153436, 35679, 1225, 23647 
15.280946, 40484826, 153271, 35687, 1225, 23651 
15.285236, 40444353, 153148, 35714, 1225, 23651 
15.289523, 40402403, 152997, 35731, 1225, 23653 
15.293817, 40361975, 152833, 35751, 1225, 23653 
15.298118, 40321527, 152692, 35777, 1225, 23653 
15.302426, 40282364, 152529, 35813, 1225, 23654 
15.306734, 40241671, 152366, 35847, 1225, 23656 
15.311044, 40201178, 152199, 35865, 1225, 23658 
15.315362, 40159081, 152046, 35908, 1225, 23658 
15.319686, 40118360, 151903, 35938, 1225, 23661 
15.324016, 40076966, 151733, 35994, 1225, 23661 
15.328342, 40034753, 151560, 36019, 1225, 23662 
15.332679, 39994372, 151401, 36044, 1225, 23664 
15.337011, 39954687, 151233, 36057, 1226, 23664 
15.341350, 39912146, 151085, 36091, 1226, 23664 
15.345693, 39870417, 150926, 36131, 1226, 23665 
15.350049, 39829448, 150764, 36171, 1226, 23665 
15.354403, 39787248, 150625, 36176, 1227, 23667 
15.358764, 39747415, 150489, 36211, 1227, 23668 
15.363133, 39706163, 150353, 36214, 1228, 23670 
15.367510, 39663928, 150186, 36214, 1228, 23670 
15.371880, 39623564, 150039, 36249, 1228, 23672 
15.376258, 39582972, 149891, 36267, 1228, 23673 
15.380641, 39542232, 149752, 36291, 1228, 23674 
15.385029, 39502491, 149613, 36311, 1228, 23674 
15.389413, 39462761, 149442, 36340, 1228, 23674 
15.393812, 39422045, 149280, 36380, 1228, 23675 
15.398218, 39381528, 149144, 36391, 1228, 23675 
15.402631, 39342433, 148999, 36416, 1228, 23676 
15.407045, 39301792, 148850, 36431, 1228, 23677 
15.411455, 39259529, 148694, 36454, 1228, 23678 
15.415869, 39217950, 148522, 36476, 1228, 23682 
15.420296, 39179132, 148374, 36490, 1228, 23682 
15.424728, 39139145, 148197, 36514, 1228, 23683 
15.429163, 39099746, 148016, 36543, 1228, 23683 
15.433604, 39056894, 147871, 36560, 1228, 23685 
15.438043, 39018052, 147730, 36591, 1228, 23685 
15.442493, 38978200, 147561, 36626, 1229, 23685 
15.446954, 38937381, 147408, 36651, 1229, 23687 
15.451411, 38898786, 147270, 36672, 1229, 23687 
15.455869, 38857866, 147115, 36709, 1229, 23689 
15.460344, 38817622, 146968, 36740, 1229, 23690 
15.464815, 38776595, 146824, 36762, 1229, 23692 
15.469285, 38736569, 146658, 36785, 1229, 23692 
15.473761, 38695469, 146499, 36800, 1229, 23693 
15.478245, 38654340, 146353, 36821, 1229, 23694 
15.482735, 38612117, 146202, 36841, 1230, 23695 
15.487224, 38571471, 146052, 36852, 1230, 23698 
15.491726, 38532101, 145885, 36879, 1230, 23699 
15.496229, 38490180, 145746, 36888, 1230, 23701 
15.500742, 38448361, 145596, 36905, 1230, 23704 
15.505260, 38407383, 145459, 36916, 1230, 23704 
15.509777, 38366480, 145312, 36953, 1230, 23705 
15.514305, 38326974, 145170, 36992, 1230, 23707 
15.518834, 38285341, 145031, 37017, 1230, 23710 
15.523373, 38244844, 144861, 37036, 1230, 23712 
15.527908, 38205010, 144709, 37035, 1230, 23715 
15.532441, 38165948, 144537, 37067, 1230, 23717 
15.536983, 38124813, 144378, 37092, 1230, 23718 
15.541540, 38085445, 144226, 37115, 1230, 23718 
15.546094, 38045465, 144059, 37125, 1231, 23718 
15.550654, 38006171, 143913, 37132, 1231, 23720 
15.555226, 37965186, 143750, 37180, 1231, 23720 
15.559793, 37924817, 143599, 37205, 1232, 23722 
15.564376, 37884643, 143431, 37219, 1232, 23725 
15.568951, 37844614, 143252, 37265, 1232, 23728 
15.573535, 37804150, 143096, 37300, 1232, 23731 
15.578120, 37764134, 142895, 37327, 1232, 23731 
15.582705, 37721908, 142765, 37341, 1232, 23733 
15.587306, 37680070, 142598, 37379, 1232, 23734 
15.591905, 37639596, 142450, 37393, 1232, 23736 
15.596519, 37598357, 142304, 37411, 1232, 23739 
15.600974, 37560006, 142150, 37429, 1232, 23739 
15.605598, 37519797, 141976, 37465, 1232, 23742 
15.610230, 37478029, 141829, 37478, 1232, 23742 
15.614858, 37437579, 141689, 37501, 1232, 23743 
15.619496, 37396338, 141561, 37520, 1232, 23743 
15.624131, 37354746, 141435, 37535, 1232, 23744 
15.628775, 37312347, 141277, 37573, 1232, 23746 
15.633434, 37270860, 141128, 37589, 1233, 23747 
15.638093, 37230408, 140983, 37629, 1233, 23748 
15.642751, 37190016, 140844, 37663, 1233, 23749 
15.647419, 37149139, 140693, 37684, 1232, 23751 
15.652086, 37108212, 140526, 37704, 1232, 23753 
15.656759, 37067162, 140377, 37712, 1232, 23754 
15.661443, 37026705, 140242, 37748, 1231, 23755 
15.666127, 36986432, 140088, 37786, 1232, 23755 
15.670816, 36946879, 139946, 37802, 1232, 23759 
15.675511, 36907008, 139777, 37824, 1233, 23760 
15.680209, 36867903, 139644, 37830, 1233, 23762 
15.684915, 36825898, 139471, 37856, 1233, 23763 
